path;title;type;audience;need;decision;priority;source;status;verification;content_review;follow_up_role;private
404.html;Page introuvable — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;404.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
access-help.html;Je n’arrive pas à me connecter — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;access-help.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
account-settings.html;Compte & interface — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;account-settings.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
admin.html;Admin — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;admin.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
article.html;Article — Squared Help Center;Article conservé;Selon la page;Préserver la source et le parcours existants;Conserver;P2;article.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
asking-for-help.html;Choisir le bon canal pour demander de l’aide;Article;Membres du Help Center;Posez une question utile sans exposer votre compte, vos documents ou les informations d’un client.;Réécrire et compléter;P1;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
bookmarks.html;Favoris — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;bookmarks.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
build.html;Utiliser Squared Build;Article;Apprenants de Squared Build;Comprenez le catalogue, votre accès et votre carnet avant de commencer une formation.;Créer;P0;content/editorial/help-build.json;Rédigé et généré;code-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
changelog.html;Changelog — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;changelog.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
community-guidelines.html;Participer à la communauté avec respect;Article;Membres du Help Center;Un cadre de participation pour des échanges utiles, compréhensibles et sûrs.;Réécrire et compléter;P1;content/editorial/help-build.json;Rédigé et généré;method-reviewed;2026-09-26;Responsable du contenu / produit à attribuer;False
community.html;Forum — Squared Help Center;Interface / orientation;Selon la page;Préserver la source et le parcours existants;Conserver;P2;community.html;Conservé;non réexécuté en production;;Responsable du contenu / produit à attribuer;False
